uf,cidade,qtd_pop
MU,Alta Floresta D'Oeste (RO),22945
MU,Ariquemes (RO),107863
MU,Cabixi (RO),5312
MU,Cacoal (RO),85359
MU,Cerejeiras (RO),16323
MU,Colorado do Oeste (RO),15882
MU,Corumbiara (RO),7391
MU,Costa Marques (RO),18331
MU,Espigão D'Oeste (RO),32374
MU,Guajará-Mirim (RO),46174
MU,Jaru (RO),51775
MU,Ji-Paraná (RO),128969
MU,Machadinho D'Oeste (RO),39991
MU,Nova Brasilândia D'Oeste (RO),20474
MU,Ouro Preto do Oeste (RO),36035
MU,Pimenta Bueno (RO),36660
MU,Porto Velho (RO),529544
MU,Presidente Médici (RO),18986
MU,Rio Crespo (RO),3764
MU,Rolim de Moura (RO),55058
MU,Santa Luzia D'Oeste (RO),6495
MU,Vilhena (RO),99854
MU,São Miguel do Guaporé (RO),23005
MU,Nova Mamoré (RO),30583
MU,Alvorada D'Oeste (RO),14411
MU,Alto Alegre dos Parecis (RO),13241
MU,Alto Paraíso (RO),21428
MU,Buritis (RO),39654
MU,Novo Horizonte do Oeste (RO),8538
MU,Cacaulândia (RO),6230
MU,Campo Novo de Rondônia (RO),14139
MU,Candeias do Jamari (RO),26693
MU,Castanheiras (RO),3052
MU,Chupinguaia (RO),11182
MU,Cujubim (RO),25215
MU,Governador Jorge Teixeira (RO),7767
MU,Itapuã do Oeste (RO),10458
MU,Ministro Andreazza (RO),9660
MU,Mirante da Serra (RO),10947
MU,Monte Negro (RO),15852
MU,Nova União (RO),6970
MU,Parecis (RO),6074
MU,Pimenteiras do Oeste (RO),2169
MU,Primavera de Rondônia (RO),2856
MU,São Felipe D'Oeste (RO),5172
MU,São Francisco do Guaporé (RO),20266
MU,Seringueiras (RO),11856
MU,Teixeirópolis (RO),4308
MU,Theobroma (RO),10444
MU,Urupá (RO),11467
MU,Vale do Anari (RO),11204
MU,Vale do Paraíso (RO),6825
MU,Acrelândia (AC),15256
MU,Assis Brasil (AC),7417
MU,Brasiléia (AC),26278
MU,Bujari (AC),10266
MU,Capixaba (AC),11733
MU,Cruzeiro do Sul (AC),88376
MU,Epitaciolândia (AC),18411
MU,Feijó (AC),34780
MU,Jordão (AC),8317
